ID_EMPLEADO,TX_NIF,TX_NOMBRE,TX_APELLIDO1,TX_APELLIDO2,F_NACIMIENTO,N_TELEFONO1,N_TELEFONO2,TX_EMAIL,F_ALTA,F_BAJA,CX_EDOCIVIL,B_SERVMILITAR
48,58188998I,Laura,Silla,Cominio,1977-07-03,643-21-871,619-724-714,la@amazon.de,2002-01-03,,C,N
49,81396418A,Juan,Rodríguez,Calvo,1980-04-13,400-821-8771,419-724-7134,juan0@amazon.de,2014-03-12,,C,N
50,82296418A,Enrique,Rodríguez,Solino,1981-04-13,600-821-871,419-724-713,kike@amazon.de,2010-03-12,,C,N
51,86991118U,Jennifer,Remora,Solino,1982-04-13,600-821-871,419-724-713,jen@amazon.de,2009-03-12,,C,N
52,86991118U,Eloia,Remolin,Arrizabalaga,1989-04-13,600-841-871,419-934-713,el@amazon.de,2009-03-12,,C,N
53,82991118U,Olaia,Sunami,Arrizabalaga,1984-04-13,610-841-871,619-934-713,ola@amazon.de,2011-03-12,,C,N
54,82991118U,Oliver,Atom,Pisuerga,1984-04-13,610-841-871,619-934-713,ol@amazon.de,2011-03-12,,C,N
56,81396483E,Pepe,Rodríguez,Calvo,1981-03-03,400-821-8771,419-724-7134,juan0@amazon.de,2019-03-12,,C,N
57,81391183E,Norberto,Rodríguez,Calvo,1975-03-03,600-821-8771,619-724-7134,norb@amazon.de,2018-03-12,,C,N
58,11391183E,Daniel,Rodríguez,Calvo,1975-03-03,600-821-8771,619-724-7134,norb@amazon.de,2013-03-12,,C,S
59,11388183E,Chano,Perez,Calvo,1975-03-03,611-821-8771,625-724-7134,chanoi@amazon.de,2013-03-12,,C,S
61,81396418L,Sofía,Luna,Gonzalez,1984-03-03,400-821-8771,419-724-7134,juan0@amazon.de,2019-03-12,,C,N
62,81396466L,Sol,Aria,Gonzalez,1984-03-03,600-821-8771,419-724-7134,soletre@amazon.de,2015-03-12,,S,N
63,81393366G,Aria,Stark,Snow,1982-03-03,600-821-8771,419-724-7134,stark@amazon.de,2011-03-12,,C,N
64,81663366G,Jonh,Stark,Snow,1976-03-03,600-821-8771,819-724-7134,stark@amazon.de,2019-03-12,,C,N
65,78544564K,Noelia,Zapara,Solera,1977-02-03,600300200,666200300,n@za,2020-02-03,,S,S
66,78541164K,Toni,Lopes,Solera,1972-02-03,611300200,666200300,toni@za,2002-02-03,,S,S
67,11541164K,Antonio,Canca,Ramiro,1976-02-03,611300200,666200300,canca@za,2001-02-03,,C,S
68,11541164K,Antonio Jesús,Barrillos,Camison,1978-02-03,611300220,666200310,ant@za,2008-02-03,,C,S
69,12345678I,Tina,Fornel,Sed,1987-02-05,789654123,600999600,a@asdf,2024-02-04,,S,S
70,66345678I,Augusto,Fornel,Tiramisu,1989-02-05,669654123,600999600,a@asdf,2023-02-04,,S,S
71,61145678I,Lee,Chion,Sue,1988-02-05,669654123,611999600,a@asdf,2013-02-04,,S,S
72,61145118I,Geno,Pililo,Sainete,1983-02-05,611654123,611991100,a@asdf,2011-02-04,,C,S
73,62345118V,Irene,Rodriguez,Sainete,1990-02-05,611654123,611991100,a@asdf,2017-02-04,,C,S
74,69645118V,Irene,Cansado,Pelillos,1996-02-05,611654123,611991100,a@asdf,2019-02-04,,C,S
75,81396418Z,Raul,Santos,Gonzalez,1999-08-03,600-821-8771,619-724-7134,rty@amazon.de,2018-03-12,,S,N
76,81396418Z,Raul,Conejero,Urzaiz,1993-08-03,633-821-877,619-724-713,rty@amazon.de,2015-03-12,,S,N
77,81311418Z,Iker,Arcos,Urzaiz,1993-08-03,613-821-877,619-724-713,iker@amazon.de,2015-03-12,,C,N
78,23545587S,Soledad,Gutierrez,Romero,1972-12-30,660232355,658889921,sole@dad,2001-04-21,,C,N
79,23445117S,Miguel,Olmos,Romero,1976-12-30,660232355,658889921,m@dad,2009-04-21,,C,N
80,23335117S,Ines,Olmos,Luna,1979-12-30,660232355,658889921,ines@dad,2011-04-21,,C,N
81,13335117S,Domi,Olmos,Luna,1971-12-30,660232355,658889921,dimi@dad,2018-04-21,,C,N
82,12457896F,Julian,besteiro,Barrena,1990-11-14,600332211,952001100,j@quepasa,2012-07-06,,S,S
83,12457336F,Juliana,Valverde,Barrena,1998-11-14,600132211,952201100,juli@quepasa,2016-07-06,,C,S
84,12457336F,Teresa,Valverde,Luna,1999-11-14,600132211,952201100,juli@quepasa,2019-07-06,,C,S
85,77457336F,Mirita,Gea,Luna,1990-11-14,600132211,952201100,mi@quepasa,2020-07-06,,C,S
86,22457336P,Pablo,Gea,Gordillo,1980-11-14,600132211,952201100,pa@quepasa,2013-07-06,,C,N
87,20201010P,Pedro,Panadero,Soliba,1999-12-03,600901010,600460066,p@lala,2021-05-14,,C,S
88,20201011P,Pedro,Gutierrez,Lopez,1996-12-03,677901010,611460066,p@lala,2018-05-14,,C,S
89,20331011P,Saima,Gutierrez,Ramirez,1996-12-03,671101010,611460066,sai@lala,2014-05-14,,C,N
90,99331011P,Rocío,Gordillo,Ramirez,1993-12-03,671101010,611460066,sgorillo@lala,2017-05-14,,S,N
91,99388011P,Daniela,Gordillo,Ramirez,1994-12-03,671101010,611460066,sgorillo@lala,2017-05-14,,S,N
92,45698712M,Manuel,Grado,Soto,1981-08-03,66006600,66006600,as@wsadgf,2012-11-30,,S,N
93,45118712M,Manuel,Pagin,Sotana,1982-08-03,66116600,66006600,as@wsadgf,2011-11-30,,S,N
94,45118712M,Manuela,Pagin,Lerele,1986-08-03,66116600,66006600,as@wsadgf,2011-11-30,2018-11-30,S,N
95,45128712M,Manu,Pagin,Lere,1984-08-03,66116600,66006600,los@wsadgf,2011-11-30,2019-11-30,S,N
96,41128712M,Manu,Pagin,Lere,1982-08-03,66116600,66006600,los@wsadgf,2010-11-30,2020-11-30,S,N
97,4178712M,Paco,Pagin,Lere,1989-08-03,66116600,66006600,los@wsadgf,2017-11-30,2021-11-30,S,N
98,4198712M,Paco,Lopez,Lere,1984-08-03,66116880,66006440,los@wsadgf,2011-11-30,2017-11-30,S,N
99,91396418J,Soraya,Perez,Galdós,1999-03-03,60028771,619727134,amazon.de,2011-03-12,,S,N
100,22396418J,Tatiana,Perez,Galdós,1998-03-03,60028771,619727134,amazon.de,2015-03-12,,S,N
101,22391418J,Tatiana,Danila,Galdós,1992-03-03,60028771,619727134,amazon.de,2018-03-12,,S,N
102,22391418J,Tati,Danila,Galdós,1990-03-03,60028771,619727134,amazon.de,2014-03-12,2018-03-12,C,N
103,11391418J,Monica,Vace,Galdós,1980-03-03,60028771,619727134,amazon.de,2018-03-12,2022-03-12,C,N
104,11398818J,Ivan,Vace,Vecino,1984-03-03,60028771,619727134,amazon.de,2012-03-12,2023-03-12,C,N
105,11398819J,Oscar,Turulu,Vecino,1981-03-03,60028771,619727134,amazon.de,2014-03-12,2021-03-12,C,N
106,91396418J,Fernando,Sastre,Cortinas,1969-03-03,60028771,619727134,fer@amazon.de,2009-03-12,,S,N
107,91196418J,Paqui,Sastre,Lopesz,1972-03-03,60028771,619727134,paqui@amazon.de,2002-03-12,,C,N
108,21196418J,Tonino,Sastre,Lopesz,1973-03-03,60028771,619727134,paqui@amazon.de,2000-03-12,,C,N
109,91396418J,Teresa,Perez,Cortinas,1999-03-03,60028771,619727134,tere@amazon.de,2019-03-12,,S,N
110,91311418J,Rita,Perez,Gea,1996-03-03,60028771,619727134,rita@amazon.de,2017-03-12,,S,N
111,11311418J,Natalia,Perez,Natillas,1990-03-03,60028771,619727134,nati@amazon.de,2011-03-12,,C,N
112,91396418J,Susana,Perez,Cortinas,1999-03-03,60028771,619727134,susana@amazon.de,2022-03-12,,S,N
113,11396418S,Tame,Perez,Guti,1999-08-03,60028771,619727134,tame@amazon.de,2020-03-12,,S,N
114,11396418S,Aritz,Gandia,Guti,1989-08-03,60028771,619727134,a@amazon.de,2013-03-12,,C,N
115,11391118S,Aritz,Gandia,Guti,1979-08-03,60028771,619727134,a@amazon.de,2011-03-12,2013-03-12,C,N
116,11391118S,Francis,Rodriguez,Guti,1971-08-03,60028771,619727134,a@amazon.de,2001-03-12,2012-03-12,C,N
